name	city	region	type	next_date	next_end	url
Mile High Dreamin'	Denver	Colorado	conference	2026-08-26	2026-08-27	https://milehighdreamin.com/
Jersey City Entrepreneurs: The Venture Garden	Jersey City	New Jersey	meetup-series	2026-08-26	2026-08-26	https://www.meetup.com/jersey-city-entrepreneurs/
TailscaleUp	San Francisco	California	conference	2026-08-26	2026-08-26	https://tailscale.com/events
Buffalo Game Space Game Development Meeting	Buffalo	New York	meetup-series	2026-08-27	2026-08-27	https://www.meetup.com/buffalo-game-space/
DrupalCamp Colorado	Denver	Colorado	conference	2026-08-27	2026-08-28	https://www.drupal-colorado.org/
CHM Live	Mountain View	California	meetup-series	2026-08-27	-	https://computerhistory.org/events/
Veteran Innovation Hackathon	Mountain View	California	hackathon	2026-08-28	2026-08-30	https://www.meetup.com/hackerdojo/events/316024672/
Tech Titans Awards Gala	Plano	Texas	awards	2026-08-28	-	https://techtitans.org/
Maker Faire Yukon	Whitehorse	Yukon	festival	2026-08-29	2026-08-30	https://makerfaire.com/upcoming-faires/
Santa Monica New Tech	Santa Monica	California	meetup-series	2026-08-30	-	https://www.meetup.com/santa-monica-new-tech/
Airflow Summit	Austin	Texas	conference	2026-08-31	2026-09-02	https://airflowsummit.org
NWA Tech Summit	Bentonville	Arkansas	summit	2026-09-01	2026-09-01	https://bentonvillearea.com/nwa-tech-summit/
Mississippi Aerospace & Defense Symposium	Flowood	Mississippi	summit	2026-09-02	2026-09-04	https://www.innovate.ms/events/
Connecticut Digital Government Summit	Hartford	Connecticut	summit	2026-09-02	-	https://events.govtech.com/Connecticut-Digital-Government-Summit
KCD SF Bay Area	San Francisco	California	conference	2026-09-02	2026-09-02	https://www.cncf.io/kcds/
CONNECT: Networking for Entrepreneurs	Jackson	Mississippi	meetup-series	2026-09-03	-	https://www.innovate.ms/events/
gRPConf North America	Mountain View	California	conference	2026-09-03	2026-09-03	https://events.linuxfoundation.org/about/calendar/
ROS By-The-Bay	Sunnyvale	California	meetup-series	2026-09-03	-	https://www.meetup.com/ros-by-the-bay/
Vancouver Microsoft 365 Summit	Vancouver	British Columbia	summit	2026-09-03	-	https://vancouver365summit.com/
Rails Camp West	Otis	Oregon	unconference	2026-09-07	2026-09-11	https://dev.events/NA/US/OR
SecKC	Kansas City	Missouri	meetup-series	2026-09-08	2026-09-08	https://seckc.org
RustConf	Montreal	Quebec	conference	2026-09-08	2026-09-11	https://rustconf.com
devopsdays Portland	Portland	Oregon	conference	2026-09-08	2026-09-10	https://devopsdays.org/events/2026-portland-or/welcome/
tech SAVannah Tech Tuesday	Savannah	Georgia	meetup-series	2026-09-08	-	https://www.meetup.com/techsav/
External Development Summit (XDS)	Vancouver	British Columbia	summit	2026-09-08	2026-09-11	https://xdsummit.com/
Tech Tomorrow	Columbus	Ohio	conference	2026-09-09	2026-09-09	https://techtomorrow.events/
Kansas City Developer Conference	Kansas City	Missouri	conference	2026-09-09	2026-09-11	https://www.kcdc.info
GNTC Summit	Nashville	Tennessee	summit	2026-09-09	2026-09-10	https://technologycouncil.com/gntc-summit/
apidays Toronto	Toronto	Ontario	conference	2026-09-09	2026-09-10	https://www.apidays.global/events/toronto/
Zeek Workshop Berkeley	Berkeley	California	workshop	2026-09-10	2026-09-11	https://zeek.org/
ElixirConf US	Chicago	Illinois	conference	2026-09-10	2026-09-11	https://elixirconf.com
NH Tech Alliance Cybersecurity Summit	Manchester	New Hampshire	summit	2026-09-10	-	http://nhtechalliance.org/cybersecurity-summit
Y Combinator Demo Day	San Francisco	California	demo-day	2026-09-10	2026-09-10	https://www.ycombinator.com/demoday
Difinity Conference Toronto	Toronto	Ontario	conference	2026-09-10	2026-09-11	https://difinityconf.com
YYC DataCon	Calgary	Alberta	conference	2026-09-11	2026-09-11	https://www.yycdata.ca/datacon
BSides Denver	Denver	Colorado	conference	2026-09-11	2026-09-11	https://www.bsidesden.org/
HackRice	Houston	Texas	hackathon	2026-09-11	2026-09-13	https://hackrice.com/
Nashville Microsoft Community Day	Nashville	Tennessee	conference	2026-09-11	-	https://m365nashville.org
CppCon	Aurora	Colorado	conference	2026-09-12	2026-09-18	https://cppcon.org/
GDG Brooklyn AI Fashion Hackathon	Brooklyn	New York	hackathon	2026-09-12	2026-09-12	https://gdg.community.dev/gdg-brooklyn/
Maker Faire Orange County	Costa Mesa	California	festival	2026-09-12	2026-09-13	https://oc.makerfaire.com/
