name	city	region	type	next_date	next_end	url
Day of Data Toronto	Toronto	Ontario	conference	2026-09-26	-	https://sqlsaturday.com/2026-09-26-sqlsaturday1160/
CanSecWest	Vancouver	British Columbia	conference	2026-09-26	2026-10-01	https://www.secwest.net/
NC TECH Summit for Women in Tech	Asheville	North Carolina	summit	2026-09-28	2026-09-29	https://www.nctech.org/events/signature-events/index.html
SANS DC Metro	Bethesda	Maryland	bootcamp	2026-09-28	2026-10-03	https://www.sans.org/cyber-security-training-events/dc-metro-september-2026/
Boise Entrepreneur Week	Boise	Idaho	startup-week	2026-09-28	2026-10-02	https://www.boiseentrepreneurweek.org/
Rocky Mountain Ruby	Boulder	Colorado	conference	2026-09-28	2026-09-29	https://rockymtnruby.dev/
DevOpsDays Dallas	Dallas	Texas	conference	2026-09-28	2026-09-29	https://devopsdays.org/events/2026-dallas/welcome/
Iowa Startup Week	Des Moines	Iowa	startup-week	2026-09-28	2026-10-01	https://www.iowastartupweek.com
DevOpsCon New York	New York	New York	conference	2026-09-28	2026-10-02	https://devopscon.io/new-york/
Reno Startup Week	Reno	Nevada	startup-week	2026-09-28	2026-10-02	https://www.renostartupweek.com/
BSides Saskatoon	Saskatoon	Saskatchewan	conference	2026-09-28	2026-09-28	https://bsidesyxe.ca
JumpStart VC Fest	Cleveland	Ohio	conference	2026-09-29	2026-09-30	https://ohiovcfest.com
DevOpsDays Halifax	Halifax	Nova Scotia	conference	2026-09-29	2026-09-29	https://devopsdays.org/events/2026-halifax/welcome/
The AI Conference	San Francisco	California	conference	2026-09-29	2026-10-01	https://aiconference.com/
Fully Connected	San Francisco	California	conference	2026-09-29	2026-10-01	https://www.coreweave.com/fully-connected-2026
Clojure/conj	Charlotte	North Carolina	conference	2026-09-30	2026-10-02	https://2026.clojure-conj.org/
Umbraco US Festival	Chicago	Illinois	conference	2026-09-30	2026-10-01	https://dev.events/NA/US/IL/Chicago/tech
MongoDB.local NYC	New York	New York	conference	2026-09-30	2026-09-30	https://www.mongodb.com/events/mongodb-local/nyc
TechExit.io Calgary	Calgary	Alberta	conference	2026-10-01	2026-10-01	https://techexit.io/calgary/
devopsdays Philadelphia	Philadelphia	Pennsylvania	conference	2026-10-01	2026-10-02	https://devopsdays.org/events/2026-philadelphia/welcome/
Ignite Seattle	Seattle	Washington	meetup-series	2026-10-01	-	https://www.igniteseattle.com/
Minnedemo	St. Paul	Minnesota	demo-day	2026-10-01	2026-10-01	https://minnestar.org/minnedemo/
BSides Bloomington	Bloomington	Indiana	conference	2026-10-02	2026-10-03	https://www.bsidesbloomington.org/
BigRed//Hacks	Ithaca	New York	hackathon	2026-10-02	2026-10-04	https://www.bigredhacks.com/
Manufacturing Day at WSU Tech	Wichita	Kansas	career-fair	2026-10-02	2026-10-02	https://wsutech.edu/wsutechevents/
MHacks	Ann Arbor	Michigan	hackathon	2026-10-03	2026-10-04	https://www.mhacks.org/
BSides Atlanta	Atlanta	Georgia	conference	2026-10-03	2026-10-03	https://bsidesatl.info
Boston Data and AI Saturday	Boston	Massachusetts	conference	2026-10-03	-	https://sqlsaturday.com/2026-10-03-sqlsaturday1150/
Boston Festival of Indie Games	Boston	Massachusetts	festival	2026-10-03	2026-10-03	https://bostonfig.com/
Hack Dearborn	Dearborn	Michigan	hackathon	2026-10-03	2026-10-04	https://www.hackdearborn.org/
BSides Memphis	Memphis	Tennessee	conference	2026-10-03	2026-10-03	https://bsidesmemphis.org
GirlHacks	Newark	New Jersey	hackathon	2026-10-03	2026-10-04	https://www.njitgirlhacks.com/
Rowdy Hacks	San Antonio	Texas	hackathon	2026-10-03	2026-10-04	https://rowdyhacks.org/
PyBay	San Francisco	California	conference	2026-10-03	2026-10-03	https://pybay.org/
Maker Faire Happy Valley	State College	Pennsylvania	festival	2026-10-03	2026-10-04	https://happyvalley.makerfaire.com/
BSides Toronto	Toronto	Ontario	conference	2026-10-03	2026-10-04	https://www.bsidesto.ca
Offensive AI Con	San Diego	California	conference	2026-10-04	2026-10-07	https://www.offensiveaicon.com/
StartupCincy Week	Cincinnati	Ohio	startup-week	2026-10-05	2026-10-08	https://startupcincyweek.com
West Slope Startup Week	Durango	Colorado	startup-week	2026-10-05	2026-10-09	https://dev.events/NA/US/CO
SAP Connect	Las Vegas	Nevada	conference	2026-10-05	2026-10-07	https://www.sap.com/events.html
Lesbians Who Tech + Allies Summit	New York	New York	summit	2026-10-05	2026-10-08	https://lwtsquad.com/
Advertising Week New York	New York	New York	festival	2026-10-05	2026-10-08	https://advertisingweek.com/
SF Tech Week	San Francisco	California	tech-week	2026-10-05	2026-10-11	https://www.tech-week.com/
MCP Dev Summit Toronto	Toronto	Ontario	conference	2026-10-05	2026-10-06	https://events.linuxfoundation.org/mcp-dev-summit-toronto
Digital Summit Atlanta	Atlanta	Georgia	conference	2026-10-06	2026-10-07	https://www.digitalsummit.com/
Mind the Product Chicago	Chicago	Illinois	conference	2026-10-06	2026-10-07	https://www.mindtheproduct.com/conferences/chicago/
Scrum Day Houston	Houston	Texas	conference	2026-10-06	2026-10-06	https://dev.events/NA/US/TX/tech
Launch Wisconsin	Milwaukee	Wisconsin	demo-day	2026-10-06	2026-10-06	https://launchwisconsin.biz
NH Tech Alliance Innovation Summit	Nashua	New Hampshire	summit	2026-10-06	-	http://nhtechalliance.org/innovation-summit
ICS Cybersecurity Conference Nashville	Nashville	Tennessee	conference	2026-10-06	2026-10-08	https://www.icscybersecurityconference.com/
SecTor	Toronto	Ontario	conference	2026-10-06	2026-10-08	https://www.blackhat.com/sector/2026/
Prairie Capital Summit	Fargo	North Dakota	summit	2026-10-07	-	https://www.emergingprairie.com/prairie-capital-summit/
Data Streaming Summit	San Francisco	California	summit	2026-10-07	2026-10-08	https://datastreaming-summit.org/
ElasticON New York	New York	New York	conference	2026-10-08	2026-10-08	https://www.elastic.co/elasticon
HackNC	Chapel Hill	North Carolina	hackathon	2026-10-09	2026-10-11	https://hacknc.com/
Hack Knight	Flushing	New York	hackathon	2026-10-09	2026-10-11	https://hackknight.org/
Knight Hacks	Orlando	Florida	hackathon	2026-10-09	2026-10-11	https://knighthacks.org/
SBUHacks	Stony Brook	New York	hackathon	2026-10-09	2026-10-11	https://hack.sbcs.io/
CodeRED	Houston	Texas	hackathon	2026-10-10	2026-10-11	https://uhcode.red/
Day of Data Pittsburgh	Pittsburgh	Pennsylvania	conference	2026-10-10	-	https://sqlsaturday.com/2026-10-10-sqlsaturday1163/
dev2next	Lone Tree	Colorado	conference	2026-10-12	2026-10-15	https://dev2next.com/
LA Tech Week	Los Angeles	California	tech-week	2026-10-12	2026-10-18	https://www.tech-week.com/
Pacific NW Software Quality Conference	Portland	Oregon	conference	2026-10-12	2026-10-14	https://www.pnsqc.org/
Augmented Enterprise Summit	Atlanta	Georgia	summit	2026-10-13	2026-10-15	https://augmentedenterprisesummit.com/
Forge Summit	North Little Rock	Arkansas	summit	2026-10-13	2026-10-14	https://www.forge.institute/events
Venture Atlanta	Atlanta	Georgia	conference	2026-10-14	2026-10-15	https://www.ventureatlanta.org/
MongoDB.local Dallas	Irving	Texas	conference	2026-10-14	2026-10-14	https://www.mongodb.com/events/mongodb-local/dallas
DelTech Conference	Memphis	Tennessee	conference	2026-10-14	2026-10-16	https://www.epicentermemphis.org/deltech-conference
Rochester Security Summit	Rochester	New York	conference	2026-10-14	2026-10-15	https://rochestersecurity.org/
SANS DFIR Summit & Training	Arlington	Virginia	summit	2026-10-15	2026-10-22	https://www.sans.org/cyber-security-training-events/digital-forensics-summit-2026/
Momentum Developer Conference	Cincinnati	Ohio	conference	2026-10-15	2026-10-15	https://momentumdevcon.com/
Tech Fuse Des Moines	Des Moines	Iowa	conference	2026-10-15	2026-10-16	https://dev.events/NA/US/IA/tech
Scrum Day Madison	Madison	Wisconsin	conference	2026-10-15	2026-10-15	https://dev.events/NA/US/WI/tech
GDEX	Newark	Ohio	expo	2026-10-15	2026-10-18	https://www.thegdex.com
HackHarvard	Cambridge	Massachusetts	hackathon	2026-10-16	2026-10-18	https://hhuh.io/
Data in the D	Detroit	Michigan	conference	2026-10-16	2026-10-17	https://dev.events/NA/US/MI/tech
SwampHacks	Gainesville	Florida	hackathon	2026-10-16	2026-10-18	https://swamphacks.com/
Hack the Valley	Toronto	Ontario	hackathon	2026-10-16	2026-10-18	https://hackthevalley.io/
LA Hacks AI Hackathon	Los Angeles	California	hackathon	2026-10-17	2026-10-18	https://ai.lahacks.com/
Maker Faire Louisville	Louisville	Kentucky	festival	2026-10-17	2026-10-17	https://louisville.makerfaire.com/
Day of Data Orlando	Orlando	Florida	conference	2026-10-17	-	https://sqlsaturday.com/2026-10-17-sqlsaturday1161/
BarCamp Philly	Philadelphia	Pennsylvania	unconference	2026-10-17	2026-10-17	https://barcampphilly.org
Polyglot Unconference	Vancouver	British Columbia	unconference	2026-10-17	2026-10-17	https://polyglotconf.com/
VCF Swap Meet	Wall	New Jersey	expo	2026-10-17	-	https://vcfed.org/events/vcf-swap-meet/
DevOpsDays Boston	Boston	Massachusetts	conference	2026-10-19	2026-10-20	https://devopsdays.org/events/2026-boston/welcome/
AI Rising Conference	Columbus	Ohio	conference	2026-10-19	2026-10-20	https://airising.org/
Maine Tech Week	Portland	Maine	tech-week	2026-10-19	2026-10-22	https://mainetechweek.com/
Sacramento Tech Week	Sacramento	California	tech-week	2026-10-19	2026-10-24	https://www.sactechweek.org/
OIN Connect	San Jose	California	conference	2026-10-19	2026-10-19	https://openinventionnetwork.com/
Lone Star Cyber Summit	Austin	Texas	summit	2026-10-20	2026-10-21	https://lonestar.cyberseries.io
Ignite Summit	Fredericton	New Brunswick	summit	2026-10-20	2026-10-20	https://myignite.ca/
eBrew	Portsmouth	New Hampshire	meetup-series	2026-10-20	-	http://nhtechalliance.org/ebrew
Wisconsin Biohealth Summit	Milwaukee	Wisconsin	summit	2026-10-21	2026-10-22	https://www.mketech.org/events/
ThunderPlains	Oklahoma City	Oklahoma	conference	2026-10-21	2026-10-21	https://2026.thunderplainsconf.com
Innovation Depot Founders Round Table	Birmingham	Alabama	meetup-series	2026-10-22	2026-10-22	https://www.innovationdepot.org/events
Great Lakes Software Symposium	Chicago	Illinois	conference	2026-10-22	2026-10-23	https://nofluffjuststuff.com/chicago
Venture Dallas	Dallas	Texas	summit	2026-10-22	2026-10-22	https://www.venturedallas.org
Minneapolis Technology Summit	Minneapolis	Minnesota	summit	2026-10-22	2026-10-22	https://eitevents.com/event_pages/minneapolis-technology-summit-2026/
BSides TC	Minneapolis	Minnesota	conference	2026-10-23	2026-10-23	https://bsidestc.org
Southwestern Ontario Drupal Camp	Multiple cities	US & Canada	conference	2026-10-23	2026-10-24	https://www.drupal.org/community/events/southwestern-ontario-drupal-camp-2026-10-23
BSides PDX	Portland	Oregon	conference	2026-10-23	2026-10-23	https://bsidespdx.org
SeaGL	Seattle	Washington	conference	2026-10-23	2026-10-24	https://seagl.org/
HackTX	Austin	Texas	hackathon	2026-10-24	2026-10-25	https://hacktx.com/
